Project ID	Project	Stars	NbCommits	Repo Creation Date	First Commit Date	Last Commit Date
1	compomics/compomics-utilities	19	3520	2015-08-21T21:30:27Z	2010-02-05T09:56:41Z	2021-01-06T12:38:25Z
2	tuomount/Open-Realms-of-Stars	41	3751	2016-05-08T16:23:41Z	2016-05-08T16:23:41Z	2021-01-17T21:17:14Z
3	Alfresco/alfresco-repository	73	12666	2017-07-26T21:04:12Z	2005-12-08T07:13:07Z	2020-10-26T17:48:19Z
4	elimu-ai/webapp	8	4222	2016-01-02T13:55:50Z	2016-01-02T13:55:50Z	2021-01-18T15:22:28Z
5	compomics/peptide-shaker	23	3660	2015-08-21T21:32:15Z	2011-01-10T17:40:11Z	2021-01-18T15:42:17Z
6	Alfresco/alfresco-remote-api	18	6190	2017-07-26T14:43:20Z	2005-12-08T07:13:07Z	2020-10-26T17:48:48Z
7	Ghost-chu/QuickShop-Reremake	69	5603	2018-07-26T14:33:29Z	2015-07-05T14:05:58Z	2021-01-18T08:14:37Z
8	classgraph/classgraph	1730	4585	2014-08-17T20:46:57Z	2014-08-17T20:46:57Z	2021-01-06T02:54:10Z
9	burningwave/core	7	4922	2019-12-30T07:42:17Z	2019-12-30T07:42:18Z	2021-01-18T16:54:19Z
10	TencentCloud/tencentcloud-sdk-java	213	413	2018-04-17T02:58:16Z	2018-04-25T05:11:01Z	2021-01-19T03:35:10Z
11	Rocologo/BagOfGold	8	1269	2017-11-01T20:37:33Z	2013-06-12T10:23:24Z	2020-10-12T13:38:38Z
12	bwssytems/ha-bridge	1312	651	2015-07-28T17:27:11Z	2015-07-28T17:21:10Z	2020-12-14T18:20:52Z
13	ebean-orm/ebean	1068	4462	2012-09-13T11:49:56Z	2012-09-13T11:49:56Z	2021-01-19T11:10:09Z
14	RipMeApp/ripme	1885	2533	2017-01-06T17:12:09Z	2014-02-25T09:28:22Z	2020-11-26T00:52:06Z
15	javaito/HolandaCatalinaFw	11	956	2016-01-14T19:26:34Z	2016-01-14T19:48:54Z	2021-01-18T15:37:28Z
16	lastaflute/lastaflute	32	1136	2015-05-01T13:48:32Z	2015-05-01T15:47:04Z	2020-12-02T15:30:36Z
17	seasarorg/dbflute	16	6997	2013-10-01T11:27:10Z	2006-09-25T16:18:04Z	2019-01-01T05:45:41Z
18	gitlab4j/gitlab4j-api	429	1914	2014-02-18T05:09:14Z	2014-02-18T05:10:33Z	2020-09-08T15:13:28Z
19	scireum/sirius-web	17	3095	2014-11-27T16:27:47Z	2014-11-27T16:51:30Z	2021-01-15T10:50:59Z
20	FenixEdu/fenixedu-academic	154	38411	2013-05-20T13:53:51Z	2003-02-14T19:12:32Z	2021-01-18T22:29:12Z
21	tonikelope/megabasterd	879	715	2016-09-29T16:54:54Z	2016-09-29T16:53:14Z	2021-01-13T12:14:20Z
22	technology16/dbreplicator2	5	893	2013-10-15T12:28:26Z	2013-10-15T12:28:26Z	2020-10-05T13:56:58Z
23	mcMMO-Dev/mcMMO	609	6186	2012-01-05T18:54:08Z	2010-09-28T11:35:34Z	2021-01-11T18:34:14Z
24	Shadorc/Shadbot	11	3277	2017-07-19T17:45:51Z	2017-07-19T17:47:00Z	2020-12-21T23:40:57Z
25	finmath/finmath-lib	234	4370	2013-03-17T10:00:22Z	2013-03-17T09:55:47Z	2021-01-13T15:04:24Z
26	Backbase/bb-fuel	12	1524	2018-10-25T06:20:13Z	2017-09-21T18:42:45Z	2021-01-08T09:23:59Z
27	sboesebeck/morphium	50	3096	2012-07-12T12:48:33Z	2012-03-31T14:58:19Z	2021-01-18T07:30:47Z
28	torakiki/sambox	28	5022	2015-02-17T09:14:01Z	2008-02-10T18:26:16Z	2020-12-11T14:53:28Z
29	Alfresco/alfresco-data-model	12	781	2017-01-25T10:56:14Z	2016-09-15T15:47:59Z	2020-10-26T17:53:08Z
30	fslev/cucumber-utils	5	1617	2018-06-08T09:23:26Z	2018-06-08T09:53:31Z	2021-01-04T08:57:17Z
31	jenkinsci/sauce-ondemand-plugin	21	1024	2010-12-13T05:51:17Z	2010-05-25T00:33:30Z	2020-09-25T12:23:41Z
32	yangfuhai/jboot	607	3053	2017-05-24T01:26:12Z	2017-05-21T08:48:34Z	2021-01-16T01:28:51Z
33	MagmaGuy/EliteMobs	29	416	2016-12-20T16:31:37Z	2016-10-08T10:03:31Z	2021-01-16T22:39:49Z
34	NLPchina/elasticsearch-sql	5923	943	2014-08-24T14:26:31Z	2014-08-24T14:26:31Z	2021-01-11T14:32:58Z
35	UniversalMediaServer/UniversalMediaServer	1130	8147	2012-06-07T22:23:22Z	2012-06-07T22:23:22Z	2021-01-18T22:01:07Z
36	sanity/quickml	230	1158	2011-09-20T20:10:50Z	2011-09-20T11:55:47Z	2017-05-17T05:37:21Z
37	jidesoft/jide-oss	140	2405	2012-05-16T21:19:02Z	2007-02-14T03:18:54Z	2020-10-06T16:56:34Z
38	chargebee/chargebee-java	17	667	2012-04-05T14:59:06Z	2012-04-05T15:02:56Z	2020-12-15T05:52:28Z
39	dmandalidis/docker-client	11	2130	2019-10-01T03:36:41Z	2014-06-04T15:10:28Z	2021-01-17T23:27:52Z
40	spotify/docker-client	1334	1853	2014-06-04T13:22:10Z	2014-06-04T15:10:28Z	2019-06-30T17:29:19Z
41	fabric8io/kubernetes-assertions	6	13499	2020-02-21T09:42:48Z	2011-04-13T19:50:46Z	2020-05-21T11:44:34Z
42	zendesk/maxwell	2162	3263	2015-02-09T22:06:13Z	2014-05-21T17:59:46Z	2020-12-23T11:03:20Z
43	synyx/urlaubsverwaltung	154	5911	2013-07-18T13:44:51Z	2011-10-20T14:35:55Z	2021-01-19T07:49:25Z
44	belaban/JGroups	805	19191	2010-11-07T15:51:28Z	2003-09-09T01:24:04Z	2021-01-15T12:24:25Z
45	CodeStory/fluent-http	197	2009	2014-03-17T15:56:38Z	2013-06-21T08:42:27Z	2020-12-03T09:47:28Z
46	OpenHFT/Chronicle-Threads	67	1162	2015-02-24T13:43:50Z	2015-02-24T13:43:56Z	2021-01-18T07:44:17Z
47	eccentricdevotion/TARDIS	48	6021	2012-07-06T10:10:11Z	2012-07-06T10:07:27Z	2021-01-19T04:34:31Z
48	twilio/twilio-java	354	1984	2009-09-15T06:04:28Z	2009-09-15T06:06:14Z	2021-01-13T23:42:45Z
49	geNAZt/CloudChat	10	292	2013-11-30T16:54:09Z	2013-11-30T16:55:24Z	2014-04-10T20:19:42Z
50	MohabMohie/SHAFT_ENGINE	23	709	2018-07-15T07:02:02Z	2018-07-15T07:02:03Z	2021-01-19T13:12:55Z
51	saucelabs/ci-sauce	12	685	2011-12-02T04:40:18Z	2011-12-02T11:02:26Z	2021-01-12T09:10:30Z
52	jenkinsci/kubernetes-plugin	1641	3107	2015-02-16T09:02:22Z	2014-09-22T17:44:22Z	2021-01-15T16:03:51Z
53	magnusmickelsson/pokeraidbot	8	685	2017-09-06T10:27:28Z	2017-09-06T10:27:29Z	2020-12-14T15:29:43Z
54	4pr0n/ripme	871	587	2014-02-26T03:30:50Z	2014-02-25T09:28:22Z	2017-11-17T10:12:09Z
55	thezerothcat/LaMulanaRandomizer	33	422	2017-07-12T01:09:30Z	2017-07-12T01:09:03Z	2020-03-29T21:36:19Z
56	wireapp/lithium	63	300	2017-01-23T09:39:28Z	2017-01-23T09:35:25Z	2021-01-14T16:19:59Z
57	jenkinsci/warnings-plugin	71	3939	2010-12-14T20:42:03Z	2008-05-11T15:38:38Z	2020-11-01T18:46:49Z
58	sanaehirotaka/logbook-kai	81	1110	2015-10-06T15:13:59Z	2015-10-06T15:13:59Z	2020-09-12T00:20:42Z
59	jenkinsci/xunit-plugin	66	860	2010-12-14T20:48:15Z	2009-08-04T21:56:05Z	2020-12-25T04:28:08Z
60	groupon/DotCi	508	1699	2014-05-19T18:33:11Z	2014-05-15T20:17:27Z	2018-02-05T22:19:48Z
61	libraryaddict/LibsDisguises	107	2197	2013-05-17T20:56:12Z	2013-05-17T21:05:19Z	2021-01-19T00:33:53Z
62	Ben12345rocks/VotingPlugin	31	1691	2016-03-20T21:19:10Z	2016-03-20T22:53:16Z	2021-01-18T22:44:00Z
63	XeroAPI/Xero-Java	46	603	2016-06-14T21:22:47Z	2016-06-14T21:22:48Z	2020-12-12T00:02:26Z
64	jenkinsci/envinject-plugin	69	814	2011-07-16T20:09:41Z	2011-07-16T20:07:42Z	2020-12-26T17:01:01Z
65	DigitalMediaServer/DigitalMediaServer	18	7314	2016-02-19T15:26:46Z	2012-06-07T22:23:22Z	2019-08-22T00:43:42Z
